,client_identifier,email,bitcoin_address,credit_card_type
28,326,calred91@ted.com,16tRkPChNu4RTqJ7tkZa52os2HZvh2hjif,americanexpress
29,329,mnurny94@wikia.com,18nNxGMaqhqrt4sZs5h3fQDDLpJL5wopFy,solo
30,345,tcosten9k@unc.edu,17AGnU1HVmvAt8gwZ4PoF8bGiPS4ARbRxi,jcb
31,354,wochterlonie9t@ebay.com,16Q23WzZFnnADqSq9z2oRDJZE7SJ2bFHrS,diners-club-carte-blanche
32,360,bdebeauchemp9z@imageshack.us,1DTzwp1kZCBx9FED2678d5g5ArrefirrXW,laser
33,367,mmaghulla6@dmoz.org,1FCv1LeZu798EhajuFMZg49zb5D7KTMZWE,mastercard
34,379,tjahnelai@bbb.org,1HZN5ZVgPqK1iVLKVMxH658kZ3pBDBcEw,jcb
35,390,lblydeat@senate.gov,1FpFASo8TTHYuefzybjiNyDfuaFmBGoGwn,jcb
36,406,jwhitbreadb9@accuweather.com,1BbeY2TE3u7ARieG5FKuSZzbLFHyBkFoQF,americanexpress
37,414,jgammonsbh@goo.ne.jp,14mRf7cFYsFjerWYsVWEvGN2zRM7tsLVpT,jcb
38,436,pomannionc3@yandex.ru,1xVt3FxfHQvzXPhXVp6VRSEydUUVzRWK7,laser
39,450,awarringtonch@sogou.com,15wYxjYgszjPnSwa4b3nvkdLfdBMTprQ9y,mastercard
40,462,nfitzalanct@japanpost.jp,13FaRnAGPb53jC6cw4dQF5qM8XTGRWrY6s,americanexpress
41,467,aanderercy@ameblo.jp,1HHBi9Yt592V74bU5PihuSGekNhGzNGaAw,solo
42,482,vclarisdd@aol.com,1477584qcLw6e2TntjCVBXJAwnS5tUTQJb,visa-electron
43,486,hpechdh@blogs.com,1CUeR37xJkVY9jVoAh9UYJc4c85RpnNcmD,diners-club-enroute
44,508,csaltsbergere3@netlog.com,1N4UFev4krTiWmC1Sbygy1NdxrJxMDsm6D,switch
45,513,fcicceralee8@vk.com,18zM2XeTncgJJTm14LDhWbMeUE3nvA8NoD,jcb
46,514,meliee9@angelfire.com,191c14CjzgK9DZGE9viRPMyGDqhc2oR46F,mastercard
47,529,chardikereo@posterous.com,14TyQs6ta2MhC2erewxosQTjmrvn2P4Gzo,jcb
48,548,lfeatherstonehaughf7@dagondesign.com,1482bkXGupDD66ypoGjdVuewXr3BaK51fE,switch
49,577,ccolqueteg0@jiathis.com,12EgsYruxuyrwHi6bDC9FXqzGAmuUawHKH,jcb
50,582,lsneezumg5@virginia.edu,18rq3Gymm7G1gaSLarTBvigCCd1UAmWQP7,mastercard
51,601,pkynclgo@miibeian.gov.cn,14GghoTqBDngp1V9PjrdPakZnNZi8VZ8F6,jcb
52,605,kcahengs@bloglines.com,1EMUu7w62n5GzRTZ4ZGTUKMwLppUyrD2Pw,visa
53,616,dgwilth3@mapquest.com,1H168tEGqoEeeNDaWmNjyEiubqTz3ZdoKG,jcb
54,621,mhainsh8@parallels.com,1MdkbruxnQR61UYstTpKsoqP3fUziVQwei,switch
55,627,edaenshe@si.edu,1HBMpsqrFAcMedVt1kUwzvxjtVcExbiAdV,mastercard
56,628,ccasseldinehf@kickstarter.com,14EWQTXkWhfiQKkKn5JuD5h3EqzLatXbsQ,jcb
57,643,penglishhu@google.com.hk,1BqmYwtSwbG8qWUJyqn8TQPB4pWXAx3jMa,jcb
58,656,gshirdi7@baidu.com,1PUPePBi6wUMGZomfTqcXojjwYQk7Ha2cu,mastercard
59,665,rklampig@mapquest.com,12SF66BTEEAYca9V2JFcty3WmsSksTTsSN,jcb
60,691,bkidstounj6@senate.gov,1BMrJy7Ac4pAyq8ciBFfGhATAgcHXaPb6P,jcb
61,701,nwhittersjg@networkadvertising.org,1Jb4hNfMJy5g4hPtT8kQQ4bbhGdwTbnmjp,jcb
62,706,swaddilovejl@yahoo.com,1HHENRw3k9UaA8uVEKnT5dc46jaQcHwiLf,visa
63,711,cguesfordjq@blogs.com,1HsSjH6FpNqbFRckMitfzzPMvXiKHDDL3p,jcb
64,726,sbarltropk5@cargocollective.com,13LecqUHZxxptc47RXRDcvhDgQHwxqTKVV,solo
65,733,fdaulbykc@cocolog-nifty.com,1MJkvsA6ebFvXFasuJxZvfKNBReLTsA3Kr,jcb
66,749,mbellenyks@salon.com,17qnQP62quZFAzU7QXFpHjMugPcFyoMXHm,bankcard
67,751,callibandku@scribd.com,16pUgN3CTqFCLB2pmBSUjoxyZEreQu4AvB,jcb
68,755,krangerky@apple.com,13MLLGGZBp6y24hg13bFA8org9qwwup2fK,americanexpress
69,760,sbathaml3@twitter.com,1PapZUVtXEaqD14JtSUhhZcPWR61aNK9kS,jcb
70,766,afaulkesl9@narod.ru,1MMDugKsUTFEyrTGnoUQrcFCHARHkggVAw,diners-club-enroute
71,774,parrighettilh@sogou.com,1Myco7rqZBPkR5XdyfqkPot9aPPvJvFZS9,switch
72,781,dillingsworthlo@geocities.com,16kmMSiv2d6K4VEat2VN1ifv3JhotXKMK6,jcb
73,785,mdenajerals@sourceforge.net,12N2XC2Mxzu6eLd2CTQkS8NKtdYTXvr2kS,switch
74,788,cbickelllv@cbc.ca,16DZD1xnSSbwAm1mbLYJSp56d7Z1TEofZD,maestro
75,798,jhugninm5@ocn.ne.jp,15tgDNJrxLs78sVijcBeCriRURp24JDqB9,jcb
76,803,rdoddma@slashdot.org,1Croxyx7soHCoDY5Q1ta5Wq9CuY7tK4aGV,mastercard
77,812,pshortenmj@vimeo.com,1Mr6usqpuYeS431Vzycq8GpwuMCipdP3mw,jcb
78,837,ydowningn8@fastcompany.com,1E7ZJuTeuSG8Sj4ocNWMymJLERfD1qDYA7,jcb
79,845,omockettng@redcross.org,18UeESWffKqdqg23yfZfZcYAkPVT6cmuD6,laser
80,848,rlampenj@istockphoto.com,1CMFYs2K4EyHecdw7Z3oT6a56iVaKG1bM5,visa
81,862,pmazellanx@cocolog-nifty.com,1GcWp25A1odq7XCoG6HyiCJ2UYDREWrgVP,solo
82,864,llamartinenz@kickstarter.com,13B25YDx2MSG2sUietvwkxzpov4XpDjqwC,jcb
83,873,lmcgillivrieo8@columbia.edu,1N75fjtmFdQJmMpacg4oUdt7cWYJXpdKD1,china-unionpay
84,881,pfenechog@de.vu,16y7pXoKxg3WrBumhLPq3JoTjhCNtCgEMq,solo
85,894,mcicconeot@mac.com,1HTBF19dSGssNoC8VWcv3BWbBpi7jYvEZd,switch
86,910,gtremeerp9@themeforest.net,15Bowgs1P3hPwXvhfLCQEftuDmXG5Rfz71,visa-electron
87,914,qwellesleypd@forbes.com,16FJCTiriaZCgyfnWCiJnua1Bka3aBjgrt,jcb
88,924,jbootlandpn@nbcnews.com,1GxYQAdNCqqnxJckfxnMapSaXrD7ktkHFv,diners-club-enroute
89,928,cmulvanypr@etsy.com,16J36sqG4rFfabKcwBoxApRuEQUT3T9JPg,china-unionpay
90,942,dcrepinq5@wisc.edu,1JK5tVtebu1Dd2gAXcTaS1UCB5BMGijuqa,jcb
91,947,jmuntqa@scribd.com,1BJQYwAftZ3UJJpRAERDCcgAkrUZNH6D7g,visa-electron
92,952,cgomerqf@a8.net,18xzobimRTpaiVjfBajSGaG7JpZeGjzfug,mastercard
93,954,rizkovitzqh@thetimes.co.uk,1MQGXo6xCKnPkRfTyjUyrQ2b4DtxxgoKyG,jcb
94,964,atartqr@miitbeian.gov.cn,1HWtSdZgMPTEdzHTAhmnAcFHf3MTasz7zE,diners-club-carte-blanche
95,966,lmacallesterqt@omniture.com,18Mxz7iRKxcGqUyYprSWBEHPpRc5HPdAKa,bankcard
96,972,abambqz@alexa.com,1HkNSAP8Jm58DBiboFDsv916XJCYsfLrdg,jcb
97,981,gschurcker8@army.mil,19158kwDCddVMpQPUKdLz33yfks1cKbKPE,diners-club-carte-blanche
98,984,btodeorb@discuz.net,1LCEj6JuVMjBt6wstfNCofLwWgsgm99NMZ,visa-electron
99,996,cbossonsrn@skype.com,1DVbpgQBtf9ouzcCZoWmzLLXRXR56HMQva,jcb
